Date,Open,High,Low,Close,Volume
1/2/2012 18:10:00,0.07,0.07,0.07,0.07,898015
1/3/2012 18:10:00,0.07,0.07,0.07,0.07,2536203
1/4/2012 18:10:00,0.07,0.07,0.07,0.07,1998267
1/5/2012 18:10:00,0.07,0.07,0.07,0.07,3220992
1/6/2012 18:10:00,0.07,0.07,0.07,0.07,3054863
1/9/2012 18:10:00,0.07,0.07,0.07,0.07,1550401
1/10/2012 18:10:00,0.07,0.07,0.07,0.07,1611200
1/11/2012 18:10:00,0.07,0.07,0.07,0.07,1262015
1/12/2012 18:10:00,0.07,0.07,0.07,0.07,2565672
1/13/2012 18:10:00,0.07,0.07,0.07,0.07,1887955
1/16/2012 18:10:00,0.07,0.07,0.07,0.07,1283562
1/17/2012 18:10:00,0.07,0.07,0.07,0.07,2620411
1/18/2012 18:10:00,0.07,0.07,0.07,0.07,1780899
1/19/2012 18:10:00,0.07,0.07,0.07,0.07,5129708
1/20/2012 18:10:00,0.07,0.07,0.07,0.07,3994877
1/23/2012 18:10:00,0.07,0.07,0.07,0.07,5627935
1/24/2012 18:10:00,0.07,0.07,0.07,0.07,2838353
1/25/2012 18:10:00,0.07,0.07,0.07,0.07,2712659
1/26/2012 18:10:00,0.07,0.07,0.07,0.07,3577839
1/27/2012 18:10:00,0.07,0.07,0.07,0.07,2205588
1/30/2012 18:10:00,0.07,0.07,0.07,0.07,4422265
1/31/2012 18:10:00,0.07,0.08,0.07,0.07,5250011
2/1/2012 18:10:00,0.08,0.08,0.07,0.08,4281522
2/2/2012 18:10:00,0.08,0.08,0.07,0.08,4344287
2/3/2012 18:10:00,0.08,0.08,0.08,0.08,5159742
2/6/2012 18:10:00,0.08,0.08,0.08,0.08,7350803
2/7/2012 18:10:00,0.08,0.08,0.08,0.08,8503152
2/8/2012 18:10:00,0.08,0.08,0.08,0.08,8345068
2/9/2012 18:10:00,0.08,0.08,0.08,0.08,8558067
2/10/2012 18:10:00,0.08,0.08,0.08,0.08,1508492
2/13/2012 18:10:00,0.08,0.08,0.08,0.08,3563072
2/14/2012 18:10:00,0.08,0.08,0.08,0.08,5298035
2/15/2012 18:10:00,0.08,0.08,0.08,0.08,4188012
2/16/2012 18:10:00,0.08,0.08,0.07,0.08,1772599
2/17/2012 18:10:00,0.08,0.08,0.08,0.08,4700511
2/20/2012 18:10:00,0.08,0.08,0.08,0.08,4238040
2/21/2012 18:10:00,0.08,0.08,0.08,0.08,3680088
2/22/2012 18:10:00,0.08,0.08,0.08,0.08,9445922
2/23/2012 18:10:00,0.08,0.09,0.08,0.08,12145309
2/24/2012 18:10:00,0.08,0.08,0.08,0.08,5354701
2/27/2012 18:10:00,0.08,0.08,0.08,0.08,5705819
2/28/2012 18:10:00,0.09,0.09,0.08,0.09,6325451
2/29/2012 18:10:00,0.08,0.09,0.08,0.08,4731745
3/1/2012 18:10:00,0.09,0.09,0.08,0.09,8663597
3/5/2012 18:10:00,0.09,0.09,0.09,0.09,4253840
3/6/2012 18:10:00,0.08,0.09,0.08,0.08,3862682
3/7/2012 18:10:00,0.09,0.09,0.08,0.09,2971878
3/8/2012 18:10:00,0.08,0.09,0.08,0.08,3316030
3/9/2012 18:10:00,0.08,0.09,0.08,0.08,2908541
3/12/2012 18:10:00,0.08,0.08,0.08,0.08,1466045
3/13/2012 18:10:00,0.09,0.09,0.08,0.09,5621154
3/14/2012 18:10:00,0.09,0.09,0.09,0.09,4423948
3/15/2012 18:10:00,0.09,0.09,0.09,0.09,1930875
3/16/2012 18:10:00,0.09,0.09,0.09,0.09,2143606
3/19/2012 18:10:00,0.09,0.09,0.09,0.09,2845898
3/20/2012 18:10:00,0.08,0.09,0.08,0.08,1980954
3/21/2012 18:10:00,0.08,0.09,0.08,0.08,2420948
3/22/2012 18:10:00,0.08,0.09,0.08,0.08,2712210
3/23/2012 18:10:00,0.08,0.09,0.08,0.08,2137644
3/26/2012 18:10:00,0.09,0.09,0.08,0.09,3472175
3/27/2012 18:10:00,0.09,0.09,0.09,0.09,2819330
3/28/2012 18:10:00,0.09,0.09,0.09,0.09,4162944
3/29/2012 18:10:00,0.08,0.09,0.08,0.08,4554021
3/30/2012 18:10:00,0.08,0.09,0.08,0.08,2099642
4/2/2012 18:10:00,0.08,0.09,0.08,0.08,1391387
4/3/2012 18:10:00,0.08,0.09,0.08,0.08,2140170
4/4/2012 18:10:00,0.08,0.09,0.08,0.08,2758158
4/5/2012 18:10:00,0.08,0.08,0.08,0.08,1305793
4/6/2012 18:10:00,0.08,0.08,0.08,0.08,1230724
4/9/2012 18:10:00,0.08,0.08,0.08,0.08,1412705
4/10/2012 18:10:00,0.08,0.08,0.08,0.08,2040337
4/11/2012 18:10:00,0.08,0.08,0.08,0.08,2131037
4/12/2012 18:10:00,0.08,0.08,0.08,0.08,2412845
4/13/2012 18:10:00,0.08,0.08,0.08,0.08,3650488
4/16/2012 18:10:00,0.08,0.08,0.08,0.08,1380105
4/17/2012 18:10:00,0.08,0.08,0.08,0.08,2846796
4/18/2012 18:10:00,0.08,0.08,0.08,0.08,2016575
4/19/2012 18:10:00,0.08,0.08,0.08,0.08,2416082
4/20/2012 18:10:00,0.08,0.08,0.08,0.08,1759300
4/24/2012 18:10:00,0.07,0.08,0.07,0.07,3329417
4/25/2012 18:10:00,0.07,0.07,0.07,0.07,4115015
4/26/2012 18:10:00,0.07,0.07,0.07,0.07,1632288
4/27/2012 18:10:00,0.07,0.08,0.07,0.07,2509154
4/30/2012 18:10:00,0.07,0.08,0.07,0.07,2624302
5/3/2012 18:10:00,0.07,0.07,0.07,0.07,2091605
5/4/2012 18:10:00,0.07,0.07,0.07,0.07,1629957
5/7/2012 18:10:00,0.07,0.07,0.07,0.07,2453825
5/8/2012 18:10:00,0.07,0.07,0.07,0.07,1429821
5/9/2012 18:10:00,0.07,0.07,0.07,0.07,1239375
5/10/2012 18:10:00,0.07,0.07,0.07,0.07,1046984
5/11/2012 18:10:00,0.07,0.07,0.07,0.07,1333465
5/14/2012 18:10:00,0.06,0.07,0.06,0.06,1364024
5/15/2012 18:10:00,0.06,0.06,0.06,0.06,2580902
5/16/2012 18:10:00,0.06,0.06,0.06,0.06,1382828
5/17/2012 18:10:00,0.07,0.07,0.06,0.07,7523632
5/18/2012 18:10:00,0.07,0.07,0.07,0.07,12801044
5/21/2012 18:10:00,0.08,0.08,0.07,0.08,18355590
5/22/2012 18:10:00,0.08,0.08,0.07,0.08,26182220
5/23/2012 18:10:00,0.07,0.08,0.07,0.07,9041525
5/24/2012 18:10:00,0.07,0.07,0.07,0.07,4462248
5/25/2012 18:10:00,0.07,0.07,0.07,0.07,5351533
5/28/2012 18:10:00,0.07,0.07,0.07,0.07,2761232
5/29/2012 18:10:00,0.07,0.07,0.07,0.07,3777140
5/30/2012 18:10:00,0.07,0.07,0.07,0.07,3669145
5/31/2012 18:10:00,0.07,0.07,0.07,0.07,3102481
6/1/2012 18:10:00,0.07,0.07,0.07,0.07,9796538
6/4/2012 18:10:00,0.07,0.07,0.07,0.07,4691648
6/5/2012 18:10:00,0.07,0.07,0.07,0.07,3510364
6/6/2012 18:10:00,0.07,0.07,0.07,0.07,2172412
6/7/2012 18:10:00,0.07,0.07,0.07,0.07,3245743
6/8/2012 18:10:00,0.07,0.07,0.07,0.07,3940913
6/11/2012 18:10:00,0.07,0.07,0.07,0.07,2178504
6/12/2012 18:10:00,0.07,0.07,0.07,0.07,9913976
6/13/2012 18:10:00,0.07,0.07,0.07,0.07,6732709
6/14/2012 18:10:00,0.07,0.07,0.07,0.07,2471062
6/15/2012 18:10:00,0.07,0.07,0.07,0.07,1775445
6/18/2012 18:10:00,0.07,0.07,0.07,0.07,4566923
6/19/2012 18:10:00,0.07,0.07,0.07,0.07,2945723
6/20/2012 18:10:00,0.07,0.07,0.07,0.07,1590100
6/21/2012 18:10:00,0.07,0.07,0.07,0.07,3907838
6/22/2012 18:10:00,0.07,0.07,0.07,0.07,4144470
6/25/2012 18:10:00,0.07,0.07,0.07,0.07,3833863
6/26/2012 18:10:00,0.07,0.07,0.07,0.07,2034178
6/27/2012 18:10:00,0.07,0.07,0.07,0.07,2119267
6/28/2012 18:10:00,0.07,0.07,0.07,0.07,1648005
6/29/2012 18:10:00,0.07,0.07,0.07,0.07,2095009
7/2/2012 18:10:00,0.07,0.07,0.07,0.07,1121031
7/3/2012 18:10:00,0.07,0.07,0.07,0.07,3160750
7/4/2012 18:10:00,0.07,0.07,0.07,0.07,2403008
7/5/2012 18:10:00,0.07,0.07,0.07,0.07,1314695
7/6/2012 18:10:00,0.07,0.07,0.07,0.07,4593266
7/9/2012 18:10:00,0.07,0.07,0.07,0.07,2086849
7/10/2012 18:10:00,0.07,0.07,0.07,0.07,1693427
7/11/2012 18:10:00,0.07,0.07,0.07,0.07,2064534
7/12/2012 18:10:00,0.07,0.07,0.07,0.07,2749927
7/13/2012 18:10:00,0.07,0.07,0.07,0.07,450436
7/16/2012 18:10:00,0.07,0.07,0.07,0.07,2527228
7/17/2012 18:10:00,0.07,0.07,0.07,0.07,1271890
7/18/2012 18:10:00,0.07,0.07,0.07,0.07,609720
7/19/2012 18:10:00,0.07,0.07,0.07,0.07,2000866
7/20/2012 18:10:00,0.07,0.07,0.07,0.07,3128196
7/23/2012 18:10:00,0.06,0.07,0.06,0.06,2445852
7/24/2012 18:10:00,0.07,0.07,0.06,0.07,1690283
7/25/2012 18:10:00,0.07,0.07,0.07,0.07,1526001
7/26/2012 18:10:00,0.07,0.07,0.07,0.07,3073224
7/27/2012 18:10:00,0.07,0.07,0.07,0.07,1590725
7/30/2012 18:10:00,0.07,0.07,0.07,0.07,871328
7/31/2012 18:10:00,0.07,0.07,0.07,0.07,4111402
